ACTOR NAME,SOCRADAR RANK,ALIASES,SECTORS,TARGET COUNTRIES,TOTAL IOCS
WildNeutron,74,Morpho|Sphinx Moth|SphinxMoth|Butterfly,,,0
SingularityMD,493,,,,0
Stone Panda,5,CTG-5938|Stone Panda|TA429|Granite Taurus|Cicada|menuPass|ITG01|Bronze Riverside|CVNX|Potassium|APT 10|Hogfish|Happyyongzi|Red Apollo|ATK 41|menuPass Team,Public Administration|Space & Defense|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Telecommunications|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,China|Montenegro|Sweden|Germany|Taiwan|Belgium|Philippines|Turkey|France|Switzerland|Israel|Australia|Vietnam|Brazil|UAE|Finland|Hong Kong|South Africa|Netherlands|UK|Italy|India|South Korea|Japan|Thailand|Norway|USA|Singapore|Canada,236
BRONZE EDGEWOOD,231,Red Hariasa|RedHariasa,,Vietnam|Kyrgyzstan|Malaysia,0
TRACER KITTEN,401,Tracer Kitten,Telecommunications,"Europe, Middle East and Africa",0
Earth Estries,246,,,,0
The Gorgon Group,283,Gorgon Group|Subaat|TAG-CR5|ATK 92|Pasty Draco,Manufacturing|Public Administration,Switzerland|Russia|USA|UK|Spain,504
Zarya,441,UAC-0109,,,0
RedAlpha,370,RedAlpha|Red Dev 3|RedDev3|DeepCliff,Public Administration,Sri Lanka|Thailand|Pakistan|Myanmar|Hong Kong|India|South and Southeast Asia,1921
Pitty Panda,105,PittyTiger|Pitty Panda,Public Administration|Telecommunications|National Security&International Affairs,Europe|Taiwan,16
Operation Armor Piercer,193,OperationArmorPiercer|Operation Armor Piercer,Public Administration|National Security&International Affairs,India,0
Union Panda,592,,,,0
SWEED,266,Sweed,Energy & Utilities |Manufacturing|Finance|Professional&Technical Services|National Security&International Affairs,China|Djibouti|Russia|Monaco|Germany|Taiwan|Turkey|France|Switzerland|UAE|Hong Kong|South Africa|UK|Italy|India|South Korea|Qatar|USA|Singapore|Canada|Bosnia and Herzegovina,97
GOLD RIVERVIEW,445,,,,0
Wassonite,482,Wassonite,Mining|Energy & Utilities |Manufacturing,Japan|India|South Korea,0
TAG-28,359,TAG-28,Public Administration,India,0
VulzSecTeam,195,VulzSec,,,0
SilitNetwork,606,,,,0
